tweet,GT Target,GT Stance,target1,target2,target3,stance
"My point was not that Genesis contradicted itself but that if you took it literally it contradicted itself. The problem is not with Genesis so much as a literal interpretation of Genesis. You have to get away from literalism to make sense of the two creation stories, with their different orders of creation. You have proved my point by showing how a less than literal interpretation of the passages gets round the problem of a literal interpretation.",creationism,AGAINST,literal interpretation,biblical accuracy,creation stories,AGAINST
" I believe in evolution; evolution is the mechanism that some species of animals and plants use to adapt to certain circumstances do to the change. Because our planet is currently changing, some animals need to adapt to that, if they don't or are incapable then they can become extinct.  And It does exist there are animals who evolve from the dinosaurs age, like aligators, tortules and many others.",creationism,FAVOR,evolution exists,species adapt,planet changes,FAVOR
"Should we just reject the big-bang as being unscientific since it would require a supernatural cause (according to the 2nd premise you list)? Is the best you can really come up with is ""Who designed the designer?""",creationism,FAVOR,big bang,designer argument,supernatural cause,AGAINST
" Genetic tests have proven that we are very closely related to certain apes- a branch on the same family tree. A proven fact is just that, a fact, and isn't ""wrong.""",creationism,AGAINST,genetic facts,ape relation,family ties,FAVOR
As you have been told already what Phil says is irrelevant to ID. Or you have to allow what Dawkins says about the theory of evolution.What part of that don't you understand?And it is a fact that if you could support your position with real data ID would go away.You can whine all you want but that will not change that fact.,creationism,FAVOR,phil says,dawkins theory,real evidence,AGAINST
 I definitely think it has something to do with everything as there is quite a lot of evidence for it (e.g different skulls show steady progress as do certain fossils) and I personally find it difficult to see how anything could survive in the constantly changing world without it.,creationism,AGAINST,survival mechanism,environment change,species adaptation,FAVOR
"or more specifically... Yes, if we teach those 5 laws as originating from a divine source.  If we teach that they are part of a historical   environment   along side Hammurabbi's code and the writings of Greek ethicist then it is not teaching   religion  . ",creationism,AGAINST,divine source,historical context,teaching religion,FAVOR
"Have you read the original emails based on which the conclusions were made?You do understand the meaning of ""a congressional report by the majority party"", don't you. So let's compare any of the accusations with what was established from the emails, and you will notice a very different picture arising.I told you, rely on the original sources",creationism,AGAINST,congressional report,majority party,original sources,AGAINST
You give interesting and complex answers.  I will have to read over them several times and think about them.  I'll respond when I feel I understand what you are saying.  Right now I just don't have the time to digest this.    ,creationism,FAVOR,interesting answer,complex answers,digest information,FAVOR
" Yes, if what you are saying is true, then I'm for it.   / But evolution has been a bag-full of lies from the beginning anyways.",creationism,FAVOR,evolution lies,company performance,science accuracy,AGAINST
"I never said anything about Einstein's religious convictions. Not one word.ID is not about a personal God. ID does not require a God at all. ID does not require intervention.The quote stands:""Science without religion is lame; religion without science is blind.""""But science can only be created by those who are thoroughly imbued with the aspiration toward truth and understanding.Ó- Albert EinsteinAnd seeing that PvM doesn't care about the truth why is he a scientist?",creationism,FAVOR,einstein quote,science religion,company behavior,FAVOR
You are ignoring my main point that Catastrophism was closer to the truth then Darwin. Are fundamentalist stubborn? Yes! Are scientist any less stubborn? No! The history of   science   is full of examples of scientists ignoring evidence contrary to established theory. The point is that in this case the fundamentalist were right and the scientists were wrong.,creationism,FAVOR,darwin vs,scientists stubborn,theory versus,AGAINST
"As I stated above, I 'believe' neither side.  Logically the evidence points to the 4.5 billion year creation that is the common consensus.If everyone lies then how can you say that the Bible is absolute truth after being copied and translated for thousands of years? ",creationism,AGAINST,bible accuracy,scientific theory,absolute truth,NEUTRAL
